"business_id","rating","location_label","location_svm","location_logr","service_label","service_svm","service_logr","price_label","price_svm","price_logr","review_counts"
"2xczXFsc4GeilxL8B8R3Vg",2.6207,0.0500,0.0500,0.0500,-0.3500,-0.2500,-0.3500,-0.0500,0.0500,-0.0500,20
"3Q7vtF_cdHGyp2JOlKcu-Q",4.2297,0.0698,0.2558,0.3023,0.0698,0.0233,0.0698,0.0930,0.0930,0.0930,43
"4V3_98M4SexonrOpE4Xm0A",4.3492,0.1081,0.0541,0.1081,0.3243,0.3784,0.3784,0.3243,0.3243,0.3243,37
"58P3oSd8P2QNzHrQmRqQZw",3.6579,0.1212,0.1212,0.1818,-0.0606,-0.3030,-0.2424,0.0303,0.1212,0.1818,66
"5fu41tfqTU_LONb95t1Dkg",4.1478,0.0429,0.1762,0.2524,0.0000,-0.1238,-0.1524,0.1429,0.2000,0.2095,210
"5nddZwZzT7pvC5vBjKRzoA",4.0625,0.1212,0.1818,0.1818,0.5455,0.6061,0.6061,-0.0303,-0.0303,-0.0303,33
"5qElnvC0danGy0io0-NRKw",3.4255,0.2973,0.0811,0.2432,0.1351,0.0811,0.0270,0.1081,0.1081,0.1081,37
"638KbE3REls3O3bbOPLnUA",3.76,-0.0833,-0.0833,0.0833,-0.0833,-0.5833,-0.5833,0.1667,0.0000,0.0000,12
"6pd0Z40VifMh6ETJrOw_0g",3.8571,0.1667,0.1667,0.1667,-0.6667,-0.8333,-0.6667,0.0833,-0.0833,-0.0833,12
"6SWknDhTfrw3NyywMCyZJg",3.6905,0.1515,0.2121,0.2121,-0.0303,-0.1515,-0.0303,0.2424,0.3636,0.4242,33
"6TWRuHn24DL6vnW8Uyu4Vw",3.98,0.2083,0.2083,0.2083,0.0000,0.1667,0.0000,0.0833,0.0000,0.0833,24
"78dfzUUVUeFpcYKqvs_X1w",3.7308,0.1500,0.1500,0.1500,0.3000,0.1000,0.2000,-0.3500,0.0500,0.1500,20
"8SvCSiGwtaGL2Z78tRSSlQ",3.5789,-0.0938,0.0938,0.0938,-0.1875,-0.1875,-0.1875,-0.0625,-0.1250,-0.0625,32
"9UrMG4cn2nfIQsJlH8e2PQ",3.1739,0.0286,0.0857,0.0857,-0.1143,-0.1714,-0.1143,0.0857,0.0857,0.1429,35
"A7Soqlerr3L8mNq3YuIqAA",3.6,0.0517,0.0862,0.0862,-0.1034,-0.2069,-0.2759,-0.2414,-0.1724,0.0000,58
"aCwCa7QMycZInFChAGU9pQ",3.84,0.1538,0.3077,0.3077,0.3846,0.6923,0.5385,-0.0769,-0.0769,0.0769,13
"ahKN6wh6z2vZsd8C7AyG5A",3.3068,0.0130,0.0649,0.1429,-0.2338,-0.2078,-0.2338,-0.3247,-0.2468,-0.2727,77
"azLb_kP6VHKSF0dMTfc3rA",3.4545,0.1000,0.0333,0.1667,-0.1667,-0.0333,-0.1000,-0.1333,0.0000,0.0000,30
"BtX9mA5dYDzULGVPC4-I-A",3.1071,0.1500,0.1500,0.1500,-0.3500,-0.3500,-0.3500,0.2000,0.2000,0.2000,20
"byFWmwlVSmUj-AmM6NZYvw",4.0328,0.2286,0.2286,0.2286,0.0571,0.1143,0.1143,0.1429,0.1429,0.1429,35
"C9JmR3jZfGnW6xbPMCT3aQ",4.3103,-0.1579,0.2632,0.2632,-0.1579,-0.1579,-0.1579,0.2632,0.3684,0.3684,19
"CMI3SF1-YwAEfUXYkKS53Q",3.1739,0.0938,0.2813,0.4063,-0.2813,-0.2813,-0.2188,-0.0313,0.0313,0.0313,32
"CNxkXXv7NVkoLWjU7t4gwA",2.6863,-0.0732,0.1951,0.3902,-0.2805,-0.2805,-0.3049,0.0854,0.0854,0.1585,82
"CQDxI8giIc6Kg9hQFLC6Uw",3.5128,-0.0323,0.0968,0.0968,-0.1935,0.0000,-0.0645,-0.1935,-0.1290,0.0000,31
"cRwNwAGQ8Pc_-orLefrwRw",4.1552,0.0652,0.0652,0.1087,0.0435,0.1304,0.1739,0.1304,0.1304,0.1739,46
"Cv4kZH9zN0wpN2Drn0qkLg",3.8077,0.0000,0.0526,0.0526,0.0789,-0.1842,-0.2895,-0.0526,0.1053,0.1053,38
"cWBqZThx4RWNzPJbJ_oXOg",3.8889,0.0526,0.0526,0.1579,0.2632,0.2632,0.3684,-0.2105,-0.1053,0.0000,19
"cXykQLP4Sr3tNii8k-zckg",3.8889,0.1143,0.1143,0.1714,0.1714,0.2857,0.2857,-0.2000,0.0286,0.1429,35
"D0tHnskAgaRjCBdoXVev_g",3.619,0.1111,0.1111,0.1111,0.3333,0.1111,0.1111,0.2222,0.2222,0.2222,9
"DAIBZ-I6i5wEUsxEolzXBA",4.4545,0.2333,0.2333,0.2333,0.7000,0.7667,0.7000,-0.0667,-0.0667,0.0000,30
"dec2TzjQ1skgmugHKJyLwQ",3.8542,0.2500,0.3125,0.3125,0.3438,0.3438,0.3438,0.2188,0.0938,0.1563,32
"dmXfK7G0h8zknsR2dfr1bw",3.5758,0.0000,0.1714,0.2286,0.0571,0.2857,0.2857,-0.0857,0.0857,0.0857,35
"DScAYRPPKaqt1NBkCbibHg",4.2333,0.0000,0.0000,0.1250,0.4375,0.4375,0.1875,0.0625,0.0625,0.0625,16
"DtFfUpwTeNkRW1dTVySavg",4.04,0.5455,0.5455,0.5455,0.2727,0.2727,0.2727,0.2727,0.2727,0.2727,11
"dWVc-Pes8olLaUIM1NC14w",3.1333,0.0000,0.0000,0.0000,0.2000,0.2000,0.6000,0.0000,0.0000,0.0000,5
"eIxSLxzIlfExI6vgAbn2JA",4.219,0.1826,0.2648,0.2648,0.1233,-0.0320,-0.0594,0.1553,0.1187,0.1553,219
"EKVrH21lOIRrXdLf-Dt5RQ",3.5395,0.0351,0.1404,0.2807,0.0526,0.0175,0.0175,0.1404,0.1404,0.2105,57
"EuNV8_SReV_3KeET2Ums6A",3.2093,-0.4000,0.2400,0.4000,-0.2800,-0.3600,-0.2800,-0.0400,0.1200,0.1200,25
"Evi6u84U3F6VhgriCDhQUg",3.6207,-0.0909,0.2727,0.4545,-0.1364,0.2273,0.1364,0.0909,0.0000,0.0000,22
"EzwpoKQrHgDHwpuCUw074Q",3.9512,0.1739,0.1739,0.2609,-0.0435,-0.0435,0.0435,0.2174,0.1304,0.1304,23
"eZyqa81qS0LuH0Bv8vfvrw",4.28,0.2564,0.1026,0.2051,0.1795,0.0256,-0.0769,0.2308,0.2308,0.2308,39
"fE0zuDxZrJlQ7H91eY6UYA",3.6471,0.0357,0.1786,0.1786,-0.0357,0.0357,-0.0357,0.2143,0.2857,0.2857,28
"ff_QnODW0vqNWZPSTVQTsQ",4.0769,0.1053,0.1053,0.1053,0.1579,0.0526,0.0526,0.3158,0.2105,0.2105,19
"fJ5raoVcN-nD8vFswMFXzQ",3.4545,0.0000,0.1250,0.1250,0.0625,0.1875,0.3125,0.0000,0.1250,0.1250,16
"fVVpTBLOHZDH4AIACjO4kg",4.0882,0.1739,0.1739,0.1739,0.6957,0.4348,0.4348,-0.0870,-0.0870,-0.0870,23
"FWpu1Ihe0oM1b9W1rFYjvA",3.5769,0.2500,0.3500,0.3500,-0.0500,0.0500,-0.0500,-0.1000,-0.1000,0.0000,20
"g9jX2oXQr8zrOQgynYnYjQ",4.0093,0.1500,0.1833,0.1833,0.2000,0.1333,0.1333,0.1500,0.1833,0.1833,60
"gEAB85-Zcm8Qs5JQPC_PHg",4.7269,0.2480,0.2160,0.2800,0.2800,0.2480,0.2320,0.1440,0.2240,0.2560,125
"hP3hxJBx1GdCfF4RVhqbAg",3.2727,0.3571,0.3571,0.3571,-0.2143,-0.0714,-0.0714,0.0000,0.0000,0.0000,14
"iAe55bO88EwBiPL2GhwBew",3.7647,0.1429,0.1429,0.1429,0.0000,0.0000,0.1429,0.0714,0.0714,0.2143,14
"ihMUU9D2mcgrp7fi8lmqJg",4.2162,0.2593,0.2593,0.2593,0.6667,0.4444,0.3704,-0.1481,0.0000,0.0741,27
"iKaYffwMocwIAMOU_Hj8eA",4.3797,0.1154,0.0769,0.1154,0.1731,0.2115,0.1731,0.3462,0.2692,0.3846,52
"ikcyah81MTF4ZzOivmPitw",1.65,0.0000,0.0000,0.0000,-0.8000,-0.6667,-0.6667,0.0667,0.0667,0.0667,15
"iKXnctUJOVxenM42ERcekg",3.375,0.1905,0.2857,0.2857,0.0000,0.0000,-0.0952,-0.0952,-0.1905,0.2857,21
"iPxUYvC8tgt5rBr-IZlSeg",4.3167,0.0444,0.0444,0.0889,0.2889,0.1556,0.2000,0.4667,0.6000,0.6000,45
"IT65TI-FZ-aTeRybXRoOrg",4.2222,0.2667,0.2667,0.2667,0.6000,0.2000,0.2000,0.1333,0.2667,0.2667,15
"ivVVCPUm9mmU6K7xR41vEg",3.7931,0.0000,0.3000,0.3000,0.1000,0.2000,0.0000,0.0000,0.0000,0.1000,20
"ixTr1qXUFGTzyaZUuCDDvg",3.0952,0.2500,0.2500,0.2500,0.1667,0.0000,-0.1667,0.0000,0.1667,0.1667,12
"j-_jKQ-5IE4hqQzA-hsApw",4.1636,0.1714,0.1714,0.1714,0.0857,0.2571,0.3143,0.1429,0.1429,0.1429,35
"JbJDlfcnYiyZRXeHQcAVjg",3.4651,0.1346,0.1346,0.1346,-0.0577,0.0192,0.0962,0.0000,0.0000,0.0385,52
"jCldB0wUJU9A_ti45vZ0bg",3.4091,0.0345,-0.0345,0.1034,0.0690,0.0690,-0.0690,0.0000,0.1379,0.1379,29
"JGTPb06Ix_v7uq3HADzq8w",3.7941,0.0588,0.1765,0.1765,0.1176,0.3529,0.1176,0.1176,0.1176,0.1176,17
"JHUcIssf3crggsVxfQ8q8w",3.48,-0.2857,0.4286,0.4286,-0.1429,-0.1429,-0.1429,0.2143,0.2143,0.0714,14
"jN2NAKO5Rn5IT8udZ0imdg",3.5385,-0.1176,0.3529,0.3529,-0.5294,-0.2941,-0.4118,-0.1176,0.2353,0.1176,17
"jqZKv-7F54guDLalXEjHxg",3.7262,0.1071,0.0714,0.0714,-0.3571,-0.2500,-0.3571,-0.1429,-0.1071,-0.0714,56
"JRFm4zOkJW2L0m4TsXBJ_w",3.2667,0.1200,0.1200,0.1200,-0.1600,-0.3200,-0.3200,-0.3600,-0.2000,-0.0400,25
"jvvh4Q00Hq2XyIcfmAAT2A",3.4355,-0.0256,0.0256,0.1282,-0.2051,-0.2051,-0.2051,-0.0513,-0.1026,-0.1538,39
"k-I2IJrEFAikJMqfzXUl8g",3.7234,0.2143,0.2619,0.3571,0.1429,0.0476,0.0000,0.1905,0.2381,0.2381,42
"K2_Hmmo5crTYWiT_1sWnfQ",3.3529,-0.0500,0.0500,0.2500,-0.2500,-0.2500,-0.2500,-0.0250,0.0250,0.0250,40
"kcBHEBHnTx9ySJwOdaSgPA",3.05,0.0000,0.0000,0.0000,0.1111,0.1111,0.1111,0.0000,0.0000,0.0000,9
"KECPmpLZxwroxLeUy9TDoA",3.2121,0.0000,0.0000,0.0000,-0.2381,-0.3333,-0.2381,-0.1429,-0.0476,0.0476,21
"kIco4kv-FHT6QqdkDQ2cow",3.0455,0.0588,0.0588,0.0588,-0.2941,-0.1765,-0.1765,0.1765,0.1765,0.1765,17
"KXvkoGg5Od9Iwk4LMBFJ4w",2.7083,0.1579,0.1579,0.2632,-0.4211,-0.5263,-0.5263,-0.0526,0.1579,0.2632,19
"L19_1cG2ALVjdBQ456h26A",2.9524,0.1304,0.2174,0.2174,-0.2609,-0.2609,-0.3478,0.3478,0.2609,0.4348,23
"l9Xqi_FUukoExs7nBa422w",3.55,0.2500,0.2500,0.2500,0.1875,0.3125,0.3125,-0.1875,-0.0625,0.0625,16
"LaRo1F0bOEZo4p11bfkshA",3.7241,0.1176,0.1176,0.1176,-0.0588,0.0588,0.0588,0.1176,0.1176,0.1176,17
"lciZhyp_xwKNBOVyzxqhbg",2.8571,0.1111,0.1111,0.1111,-0.1111,-0.5556,-0.3333,0.0000,0.0000,0.0000,9
"LFOfaMvC6g7huKW5e35nsQ",3.6538,0.1818,0.3636,0.3636,0.4545,0.2727,0.4545,-0.1818,-0.0909,-0.1818,22
"lp-J_cO5owuMzGJqdn3PNg",4.2059,-0.0667,0.0667,0.0667,0.0333,0.1000,0.1000,0.2000,0.3333,0.4000,30
"lRew0HDz5BO-4fwWsMJyMg",3.3182,0.0714,0.2143,0.2143,0.0000,0.0000,-0.4286,-0.0714,-0.0714,-0.0714,14
"LSElCCmJQNJDpIEf77NVpA",3.7586,0.2941,0.2941,0.2941,0.0588,-0.1765,-0.0588,0.1765,0.1765,0.1765,17
"LYLGCIqNQQrpMwOxJ1hlrg",3.6818,0.2037,0.1296,0.2778,0.2407,-0.0185,-0.1296,-0.2593,-0.0741,0.0000,54
"m3EKlucZuwnOazLrRfnWaQ",3.4384,0.0851,0.1277,0.1702,-0.3617,-0.2766,-0.3617,0.0638,0.1064,0.1064,47
"M6SQ1dITqcuj-sAvg8_ITg",3.8148,0.1333,0.1333,0.1333,0.1333,0.0000,0.0000,0.2000,0.0667,0.2000,15
"Me6hKl5pjH2KCuxLZm6pzQ",3.8649,0.2143,0.2857,0.2857,0.2143,0.2143,0.2143,0.1071,0.1071,0.1071,28
"mM4JGpza3KkegHYUN7T79w",3.5484,0.0833,0.1667,0.2500,0.0417,-0.0417,-0.1250,0.3333,0.3333,0.4167,24
"MpMkOGrzCEGrO0-8yoib2w",4.1481,0.0000,0.0000,0.1176,0.4706,0.4706,0.4706,0.0000,0.0000,0.0000,17
"mTc8M-drs2HSG8paNUTTQg",3.7273,0.0769,0.0769,0.0769,-0.7692,-0.4615,-0.3077,0.1538,0.0000,0.1538,13
"M_GnuvRXvWBl3YNxH-GYFg",2.8421,-0.0667,-0.0667,0.0667,-0.0667,-0.2000,-0.3333,0.1333,0.1333,0.1333,15
"n-iA7O3vKAgCMk3Caf2Syw",4,0.1765,0.2353,0.2353,0.1471,0.0294,0.0294,-0.0294,0.0294,-0.0294,34
"NA",0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1
"Nc2TtVj6py6dHH_XdWAKRQ",4.25,0.0000,0.0000,0.0000,0.5455,0.5455,0.3636,0.0000,0.0000,0.0000,11
"Nh9BjVPHdrZMn2naUxO6hg",2.4146,-0.1481,-0.0741,0.2222,-0.4815,-0.4074,-0.3333,0.0741,0.0741,0.0741,27
"NK-lGc4ZpuuduTAwK5Y24g",3.2368,-0.1818,0.1818,0.2727,-0.1818,0.0000,0.0000,0.0909,0.0000,0.0909,22
"nRzZac3LVgANpKPkDs4LSQ",3.8333,0.2222,0.2222,0.2222,0.3333,0.0000,-0.1111,0.0000,0.0000,0.0000,18
"nUUYvBafHYH-O4Pht6lgsw",4.4804,0.0000,0.0000,0.0000,0.0615,0.0615,0.1231,0.3077,0.2769,0.3077,65
"nvuw2UgZV-Y-WEmHOaLRkg",4.7619,0.3333,0.3333,0.3333,0.5333,0.5333,0.4000,0.2667,0.1333,0.2667,15
"obkBJENTOXC3YpS_VWiPyw",3.64,0.1176,0.1176,0.1176,-0.0588,0.0588,0.0588,-0.0588,0.0588,0.1765,17
"p9amH4v0zP1BQgJhYjeUMg",3.1111,0.0000,0.0000,0.0000,-0.3000,-0.3000,-0.3000,0.1000,0.1000,0.1000,10
"pAu8UuWTLTLai61TW8-tZw",3.2143,0.0667,0.0667,0.0667,-0.1667,-0.0333,-0.1667,0.0667,0.2667,0.3333,30
"Pectv4bzzUVs0FQ6HQjW8g",4.0488,0.2917,0.2917,0.2917,0.0000,0.0833,0.0833,0.1250,0.2083,0.1250,24
"plrLdKQvnyWlDvQ3kFSqwQ",4.4348,0.0909,0.0909,0.0909,0.0000,-0.3636,-0.1818,0.3636,0.3636,0.3636,11
"PNHXpLc799mkFipy5WlN6A",3.4545,-0.0800,0.0000,0.0000,-0.2800,-0.3600,-0.2800,-0.1600,-0.0800,-0.0800,25
"po5FyERB4lUZNnBIwnhFlg",3.2,0.0000,0.0000,0.0000,-0.1176,-0.4706,-0.5882,-0.1765,0.1765,0.1765,17
"pQPIaCWok_yVzY-0JvfURQ",4.0741,0.2222,0.2222,0.2222,0.2222,0.2222,0.1111,0.1667,0.1667,0.2778,18
"PSIoHJpLPnkoH78iYRk6vQ",3.8182,0.0769,0.0769,0.0769,0.0000,0.0000,0.0000,-0.0769,0.0769,0.0769,13
"Q777p0iKcL-3k1171OW1TA",4.0455,0.0625,0.0625,0.0625,0.2500,-0.1250,-0.1250,0.0000,0.1250,0.1250,16
"QJ4iodv1xkUYBSZ9y1MWVg",3.8696,0.0909,0.0909,0.0909,0.0909,0.0909,0.0909,-0.0909,-0.0909,0.0909,11
"qlgAl9biUkK1wvmJ4ggDFg",1.5714,0.0625,-0.0625,0.1875,-0.5625,-0.6875,-0.5625,0.0000,0.0000,0.0000,16
"qVN-P0aov4z5oknS12Cq1g",3.1625,-0.0159,-0.0159,0.0159,-0.2857,-0.4127,-0.4444,-0.1905,-0.1270,-0.1270,63
"R2IWbpUgJQ3NRRjKQy6O_Q",3.8889,0.3125,0.1875,0.3125,0.5000,0.0000,0.0000,0.1250,0.1250,0.1250,16
"rB1CNenQbYtQ0D6sqoJe3A",3.6667,0.3750,0.3750,0.3750,-0.0625,0.0625,0.0625,-0.1250,0.3750,0.3750,16
"RIP8nL2Gbiu0zb-nCgZnpw",3.1333,0.1111,0.0000,0.0000,-0.1111,-0.1111,-0.2222,-0.0556,0.0556,0.0556,18
"Rr233WRnykn1j-qU9KOzCg",3.988,0.2745,0.3137,0.3137,0.1373,0.2157,0.1765,0.1176,0.1569,0.2353,51
"SaIX7eay0vV-FxGPqTk1yA",3.8947,0.0000,0.2000,0.2000,-0.2000,0.2000,0.2000,-0.2000,0.0000,0.2000,10
"SM3EGMqG1MN1kYVGIXLx4Q",3.95,0.2000,0.2000,0.2000,-0.1333,0.0000,-0.1333,0.7333,0.7333,0.7333,15
"T93h3F_Mq8bdEWBEujsEcQ",3.6667,0.0769,0.0769,0.0769,-0.0769,-0.0769,-0.0769,0.2308,0.0769,0.0769,13
"tbRu-3NR5za1SEZkszcp5Q",3.625,0.1538,0.1538,0.1538,-0.1154,-0.0385,0.0385,0.1923,0.1154,0.1923,26
"tONuJUMGL394lS3MM0UmzQ",3.25,0.1333,0.2667,0.2667,-0.0667,0.3333,0.3333,-0.1333,-0.1333,-0.1333,15
"tYlwIZWPEQFvU9avTaIv3w",3.8148,0.1538,0.0769,0.1538,0.3077,-0.0769,-0.0769,0.1923,0.2692,0.3462,26
"UCjtaUCtJPbTUouHtQURvQ",3.7593,0.1111,0.2222,0.3889,0.0000,-0.0556,-0.1111,0.0556,0.0556,0.1111,36
"uFwC7N9APy8oTjhda3p9lw",4,0.0625,0.1250,0.1250,0.0000,-0.1250,-0.0625,0.6250,0.5625,0.5625,32
"ukTwFX4wQW4FbQbnWI9aJg",4.3704,0.2105,0.3158,0.3158,-0.0351,-0.0351,0.0351,0.2281,0.2281,0.2632,57
"uZdGSJdWbQpLDsuV9mP79g",3.3158,0.0400,0.2800,0.4400,-0.4400,-0.2800,-0.3600,0.0800,0.0800,0.0800,25
"v11wtoKy5sKLAdi8355MKA",3.5,0.0000,0.0000,0.0870,-0.2609,-0.2609,-0.3478,-0.1739,0.0000,-0.0870,23
"vA9dAPd9fQt_3HqZylKfVA",3.5323,0.0500,0.2000,0.2500,-0.1750,0.0750,0.0750,-0.0750,-0.0750,-0.0250,40
"VeMcG5cMG2i1ziUVwQHaVQ",3.8696,0.0714,0.0714,0.0714,0.0714,0.3571,0.2143,-0.3571,-0.0714,-0.0714,14
"VsrvWdZL2993olnW3z8R3A",3.6476,0.0256,0.0769,0.1026,-0.1667,-0.1923,-0.2179,-0.1026,-0.0256,0.0256,78
"w7SrsFV4FL04bhQr-B6-4w",3.6702,0.2759,0.2759,0.3448,0.3793,0.3793,0.3103,-0.0862,0.0172,0.0517,58
"WAqACt7FfSFcJs-gqysIlQ",4.28,0.1429,0.1429,0.1429,-0.2857,0.0000,0.0000,0.2857,0.2857,0.2857,7
"WcGTSRku3mrVK7V9GKq4UQ",3.6667,0.2222,0.2222,0.2222,0.0556,0.0556,0.1667,0.1111,0.0000,0.2222,18
"WjOz_BVfAkunjIA2yTthyg",4.0952,0.3333,0.3333,0.3333,0.4167,0.4167,0.4167,0.0833,0.0833,0.0833,12
"WjT_DJivd3I98FxDgEZpTQ",4.037,0.1667,0.1667,0.1667,0.3750,0.0417,-0.0417,0.2500,0.0833,0.0833,24
"wn7GiuOQ_0VrPXNc1wVTDA",2.8261,-0.3000,0.0000,0.3000,-0.5000,-0.5000,-0.5000,-0.1500,-0.1500,-0.1500,20
"X-dpycbo5fy8AyoHCUCryA",3.9242,0.2083,0.2500,0.2917,0.1458,0.1042,0.1042,0.1042,-0.0208,0.0625,48
"X1jTnU6c9eloN2Bxs78uTg",3.1379,-0.0714,-0.0714,0.0714,-0.4286,-0.4286,-0.4286,0.0000,0.1429,0.1429,14
"x3R9cU8RCFhxQdL1SPNhZw",4.0612,0.1379,0.0690,0.2759,-0.1379,-0.0690,-0.0690,0.0690,0.1379,0.2069,29
"X6mWr96ibKdXQSA6mpH90g",4.1493,0.0667,0.0667,0.1111,0.5333,0.2667,0.2667,0.1556,0.2444,0.2444,45
"XA-mMT47rFZNEllPBCYWQQ",2.8511,-0.1892,0.0811,0.2973,-0.1081,0.0541,0.0541,-0.0270,0.0270,0.0811,37
"XiCnbGY6R92Ji7r38jceZA",3.8222,0.0938,0.1563,0.1563,0.2500,0.2500,0.3125,-0.1250,0.0625,0.0625,32
"XJc9Ueb3avGpYaj5Ll92hg",3.6923,0.0435,0.1304,0.1304,0.0870,0.0870,0.0870,-0.0870,0.0000,0.0870,23
"xM5F0cLAlKWoB8rOgt5ZOw",3.9184,0.0435,0.2174,0.2174,0.1304,-0.1304,-0.1304,0.0870,0.0870,0.0870,23
"XmDiFI8SuougNUi02ZCdwA",3.6471,0.0811,0.0811,0.0811,0.1892,-0.1892,-0.1351,-0.2432,-0.0270,-0.0811,37
"ykKSshfa9ANCZCuvM2LaWg",3.4124,0.0517,0.1207,0.1207,0.0517,0.0172,0.0862,0.0862,0.1207,0.1207,58
"yqTromUJgF6Ll7VVo4iF0A",3.7234,-0.0294,0.0294,0.0882,-0.0294,-0.0882,-0.0882,-0.0588,-0.0588,0.0588,34
"YSOaPUm5EORusVSPB6_Zag",3.619,0.1538,0.1538,0.1538,-0.0769,0.0769,0.0769,0.0769,0.0769,0.0769,13
"yTFdhqH9eLzaP05xXQa2rw",4.1563,0.2000,0.1667,0.2000,0.1833,0.0833,0.1167,-0.0833,0.0167,0.1167,60
"yyahaWDdm1Hes99IZkSJPg",4.0811,0.2105,0.2632,0.2632,0.2895,-0.0789,-0.1316,0.1579,0.0000,0.1053,38
"yyuy1kimJHK2RsizjvgUNQ",2.7143,0.1538,0.1538,0.1538,-0.3846,-0.2308,-0.2308,0.0000,0.0000,0.1538,13
"yZSxQT84u6CL_lmfHKMMNQ",3.1818,0.2500,0.4167,0.4167,-0.3333,0.1667,0.1667,0.0000,0.0000,0.0000,12
"Y_Y91oeUrIwYa18F8ey5NQ",3.9406,0.1429,0.2245,0.2653,0.0408,0.0408,0.0816,0.1837,0.0612,0.2653,49
"ZDXZGMpA4IhIqmMIMdeHlA",2.9268,0.2381,0.1429,0.4286,-0.1905,-0.2857,-0.2857,-0.0952,0.0000,0.0000,21
"zht8__JJoxkozBhf_vuKYg",4.2647,0.1538,0.1538,0.1538,0.4615,0.6154,0.6154,0.0000,0.0000,0.0000,13
"ZlvVCqFKTMK4rBkTQzVBpA",3.6296,0.0800,0.0800,0.1600,0.1600,-0.0800,0.0000,-0.0800,-0.1600,-0.1600,25
"zUGy_9UtKDfjotmWpCu_Sg",3.3902,0.0313,0.0313,0.2188,0.0313,-0.0313,0.0313,0.0625,0.0000,0.1250,32
"Zw4CvOwXJj1QA85SvB99Hw",3.6977,0.0909,0.1818,0.1818,0.0000,0.0909,0.1818,0.2727,0.0909,0.2727,22
"zxjMiqlfUuIQRltSuj9FpQ",2.8261,0.2857,0.1905,0.1905,-0.3810,-0.0952,-0.1905,0.2381,0.2381,0.2381,21
"_6rzEUOYbo7lgtkSKkKS9g",3.5319,0.0968,0.1613,0.2903,0.0968,-0.1613,-0.2903,-0.0323,0.0323,0.0968,31
"_CIodPGuvPP2khYkDk1jKw",4.4762,-0.0278,0.0278,0.0278,-0.1111,-0.3889,-0.3333,0.5000,0.3333,0.5000,36
